500000
249036	328517
397561	200071
9129	189925
122093	51048
210841	140268
3095	327239
407658	366187
473081	422070
472535	1541
205672	282032
361586	28127
297611	391979
498733	132022
355550	435289
87217	395717
439503	428581
286194	168187
285260	288167
38834	181517
297452	477170
481884	425039
240676	56371
314422	34698
318335	188978
249858	71675
342282	73649
71483	94753
15827	426801
340122	224540
131182	262394
315584	381266
480449	488192
472635	303658
121812	313378
262723	439712
97347	320252
116842	209474
440622	281457
865	155727
269270	419348
274688	348668
309696	470222
25547	90447
81283	168374
403601	103044
39275	34173
233470	297269
216884	447249
350533	23203
254688	100344
286665	84433
119828	473796
433827	401029
103046	235282
161978	160344
23678	17837
58240	189685
68283	220820
211761	449035
46796	40026
331732	122203
145860	450837
62571	186188
353992	455386
238371	49156
475986	407160
332486	464894
475470	342555
407111	99369
291705	1639
200675	203909
377335	118540
219379	240902
7387	268374
82782	7938
74301	134988
46881	370036
392650	70974
406919	35112
184669	62105
22212	90078
469512	344435
339563	375689
200143	258145
60805	143263
8585	118429
280233	140039
200336	76115
113209	259872
74351	148675
273057	422439
308839	336861
475320	109613
440268	391898
378785	482601
485779	200750
477800	89760
27731	295322
79702	295632
236618	235478
155150	304788
217078	26727
347039	113327
360890	87168
481394	416803
438440	332475
171851	31832
240667	166718
130427	90231
393211	412570
368170	432158
376281	24475
289054	84332
162018	420410
382855	122675
423054	425432
406754	64091
416416	389492
247348	137162
55908	361380
57726	95727
339767	408557
445197	84486
338630	68412
432040	148899
217512	86059
17425	269080
306095	87055
424215	192256
398935	296102
41280	407956
129017	26650
360321	346514
490279	104307
393574	103627
294224	45358
194028	467972
39177	121002
33093	293297
82971	419545
178000	368990
120273	117216
328216	224439
294568	430713
109922	285244
86192	358684
87807	38769
441662	289035
122281	84170
170490	201685
423321	354433
469579	215584
339501	104881
452960	101313
130899	32904
350936	116230
121762	496667
323030	2583
482493	484315
115424	221642
99632	218114
331550	61741
18325	402587
126316	55435
176958	159203
423434	448378
287849	22267
405736	47992
215137	247847
136237	297955
466841	485645
296686	421264
463520	187736
246329	485857
443057	48676
380234	112977
486785	84897
135984	301832
397250	446497
188163	292777
321020	339308
482807	484305
479785	102858
476150	19911
450856	108085
13678	441456
19989	94718
126542	88042
66888	23942
192152	233918
4276	103969
355076	313631
299782	98152
434824	469903
353542	408453
148786	95079
348534	18774
301968	385099
156279	78621
25604	316702
74272	173725
315828	290024
315672	472268
60965	249283
242219	418100
349188	228893
342101	465091
218574	250821
31404	422728
484548	434673
316912	224022
328298	74226
330250	260434
442182	472904
103940	15350
301908	465674
84365	353565
294926	452875
444625	214758
308902	276554
478185	163140
415933	169248
27350	401194
321770	103361
67334	426064
382517	462764
30353	48434
249402	110205
19002	489869
346794	26984
13119	292083
440147	170381
282187	181382
241310	366568
463010	17038
69775	88543
310929	101684
161522	379493
346133	472406
181238	257235
244242	446065
364170	420435
383096	40972
314916	158790
353956	249626
98089	2554
37226	323589
73620	432551
57293	219992
417105	91073
246025	301634
155889	20964
248069	201333
450356	387628
350947	364293
123107	320605
22209	317244
16854	302357
310631	184435
432279	83262
465128	35351
363990	303936
232660	384667
153094	158616
472177	106530
185082	127075
320486	87091
255899	438632
425635	364502
